None,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Classification,Classification,Classification,Classification,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,lat,lat,lat,lat,lon,lon,lon,lon,File,File,File,File
1246,Caramonte,,,Caramonte,Wind,,,Wind,,,,,Spain,,,Spain,49.9,,,49.94,41.172235,,,,-2.43476,,,,,,,Spain Power Plants Over 10 MW.csv
1247,Paramo,,,Paramo angostillos,Wind,,,Wind,,,,,Spain,,,Spain,24.0,,,26.0,42.648719,,,,-3.590431,,,,,,,Spain Power Plants Over 10 MW.csv
1248,Guijo,,,Guijo,Wind,,,Wind,,,,,Spain,,,Spain,64.0,,,111.6,41.098287,,,,-2.574055,,,,,,,Spain Power Plants Over 10 MW.csv
1249,Earlsburn,,,Earlsburn,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,35.0,,,38.0,56.1190326411,,,56.7861112,-3.9368188074,,,-4.1140517,,,,UK Power Plant.csv
1250,Cefn croes,,,Cefn croes,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,58.5,,,59.0,52.3749703946,,,52.2928116,-3.85620117188,,,-3.7389299,,,,UK Power Plant.csv
1251,Vinkefallet,,,Vinkelfallet,Hydro,,,Hydro,,,,,Norway,,,Norway,7.14,,,9.0,59.0963889,,,,5.7083333,,,,,,,Norway Power Plants (ENTSOE) .csv
1252,Sarp,,,Sarp,Hydro,,,Hydro,,,,,Norway,,,Norway,76.0,,,90.0,59.28391,,,,11.10962,,,,,,,Norway Power Plants (ENTSOE) .csv
1253,Vamma,,,Vamma,Hydro,,,Hydro,,,,,Norway,,,Norway,215.0,,,252.0,59.58326,,,,11.16286,,,,,,,Norway Power Plants (ENTSOE) .csv
1254,Schwedt,,,Iks pck schwedt,Oil,,,Oil,,,,,Germany,,,Germany,299.0,,,333.5,53.059632046,,,53.0958512,14.281539917,,,14.2364839229,,,,Germany Power Plants (conventional).csv
1255,Tanes,,,Tanes,Hydro,,,Hydro,,,,,Spain,,,Spain,133.0,,,124.17,43.206608,,,,-5.400455,,,,,,,Spain Power Plants Over 10 MW.csv
1256,Barca,,,Barca,Hydro,,,Hydro,,,,,Spain,,,Spain,55.28,,,52.09,43.337651,,,,-6.414516,,,,,,,Spain Power Plants Over 10 MW.csv
1257,Salime,,,Salime,Hydro,,,Hydro,,,,,Spain,,,Spain,126.0,,,157.24,43.215536,,,,-6.875698,,,,,,,Spain Power Plants Over 10 MW.csv
1258,Miranda cantabrico,,,Miranda,Hydro,,,Hydro,,,,,Spain,,,Spain,64.8,,,71.79,43.2824541424,,,,-6.21817588806,,,,,,,Spain Power Plants Over 10 MW.csv
1259,Proaza,,,Proaza,Hydro,,,Hydro,,,,,Spain,,,Spain,48.0,,,49.54,43.251775,,,,-6.016333,,,,,,,Spain Power Plants Over 10 MW.csv
1260,Fagervollan,,,Fagervollan,Hydro,,,Hydro,,,,,Norway,,,Norway,21.0,,,22.0,68.35,,,,17.0166667,,,,,,,Norway Power Plants (ENTSOE) .csv
1261,Sjona,,,Sjona,Hydro,,,Hydro,,,,,Norway,,,Norway,55.0,,,60.0,68.35,,,,17.0166667,,,,,,,Norway Power Plants (ENTSOE) .csv
1262,Langfjord,,,Langfjord,Hydro,,,Hydro,,,,,Norway,,,Norway,15.25,,,10.0,65.4625,,,,12.19973,,,,,,,Norway Power Plants (ENTSOE) .csv
1263,Forsland,,,Forsland,Hydro,,,Hydro,,,,,Norway,,,Norway,7.0,,,8.0,67.5833333,,,,15.7666667,,,,,,,Norway Power Plants (ENTSOE) .csv
1264,Ildgrubfossen,,,Ildgruben,Hydro,,,Hydro,,,,,Norway,,,Norway,5.7,,,7.0,68.35,,,,17.0166667,,,,,,,Norway Power Plants (ENTSOE) .csv
1265,Grytaga,,,Grytaga,Hydro,,,Hydro,,,,,Norway,,,Norway,47.8,,,61.0,65.8333333,,,,13.2,,,,,,,Norway Power Plants (ENTSOE) .csv
1266,Kaldaga,,,Kaldaga,Hydro,,,Hydro,,,,,Norway,,,Norway,15.0,,,19.0,68.045,,,,15.7305556,,,,,,,Norway Power Plants (ENTSOE) .csv
1267,Ajaure,,,Ajaure,Hydro,,,Hydro,,,,,Sweden,,,Sweden,75.0,,,86.0,65.7114983376,,,,15.2583789825,,,,,,,Sweden Power Plant.csv
1268,Gejman,,,Gejman,Hydro,,,Hydro,,,,,Sweden,,,Sweden,66.0,,,66.0,65.095904961,,,,17.1173107624,,,,,,,Sweden Power Plant.csv
1269,Stadsforsen,,,Stadsforsen,Hydro,,,Hydro,,,,,Sweden,,,Sweden,135.0,,,142.0,63.0333333,,,63.3264934,16.6166667,,,14.5811578,,,,Sweden Power Plant.csv
1270,Peneda,,,C.h. peneda modificada,Hydro,,,Hydro,,,,,Spain,,,Spain,11.0,,,10.0,42.2505671113,,,,-8.13112735748,,,,,,,Spain Power Plants Over 10 MW.csv
1271,Callagheen,,,Callagheen,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,16.9,,,17.0,54.4166667,,,54.65688285,-8.0833333,,,-6.5634352097,,,,UK Power Plant.csv
1272,Domeno,,,Central hidraulica domeno,Hydro,,,Hydro,,,,,Spain,,,Spain,40.8,,,20.4,42.675787,,,,-1.239507,,,,,,,Spain Power Plants Over 10 MW.csv
1273,Guijo granadilla,,,Guijo granadilla,Hydro,,,Hydro,,,,,Spain,,,Spain,52.8,,,52.21,40.193507,,,,-6.16339,,,,,,,Spain Power Plants Over 10 MW.csv
1274,Cantalojas,,,"Cantalojas mw,",Wind,,,Wind,,,,,Spain,,,Spain,20.4,,,24.0,41.234725,,,,-3.246289,,,,,,,Spain Power Plants Over 10 MW.csv
1275,Almendros,,,Almendros,Wind,,,Wind,,,,,Spain,,,Spain,48.04,,,63.88,38.479167,,,,-1.325,,,,,,,Spain Power Plants Over 10 MW.csv
1276,Menera,,,Menera,Wind,,,Wind,,,,,Spain,,,Spain,40.0,,,79.95,40.734189,,,,-1.617203,,,,,,,Spain Power Plants Over 10 MW.csv
1277,Maza,,,Maza,Wind,,,Wind,,,,,Spain,,,Spain,49.5,,,72.45,39.6,,,,-1.8,,,,,,,Spain Power Plants Over 10 MW.csv
1278,Cotera,,,Cotera,Wind,,,Wind,,,,,Spain,,,Spain,18.0,,,18.0,43.359831,,,,-4.34927,,,,,,,Spain Power Plants Over 10 MW.csv
1279,Lubian,,,Lubian,Wind,,,Wind,,,,,Spain,,,Spain,29.3,,,50.0,42.035687,,,,-6.905408,,,,,,,Spain Power Plants Over 10 MW.csv
1280,Millares,,,C.h. millares,Hydro,,,Hydro,,,,,Spain,,,Spain,68.0,,,70.17,39.25,,,,-0.7666667,,,,,,,Spain Power Plants Over 10 MW.csv
1281,Gabriel galan,,,Gabriel galan,Hydro,,,Hydro,,,,,Spain,,,Spain,110.0,,,110.4,40.193507,,,,-6.16339,,,,,,,Spain Power Plants Over 10 MW.csv
1282,Callejas,,,Callejas,Wind,,,Wind,,,,,Spain,,,Spain,49.5,,,49.5,39.6,,,,-1.8,,,,,,,Spain Power Plants Over 10 MW.csv
1283,Conso,,,Conso,Hydro,,,Hydro,,,,,Spain,,,Spain,228.0,,,268.02,42.1666667,,,,-7.1833333,,,,,,,Spain Power Plants Over 10 MW.csv
1284,Pedro iberdrola,,,Pedro,Hydro,,,Hydro,,,,,Spain,,,Spain,32.0,,,57.47,42.4171203547,,,,-7.74982452393,,,,,,,Spain Power Plants Over 10 MW.csv
1285,Coldham,,,Coldham,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,16.0,,,16.0,52.5513061675,,,52.2345714,0.0882768630981,,,-0.4626500837,,,,UK Power Plant.csv
1286,Prejano,,,Prejano enciso,Wind,,,Wind,,,,,Spain,,,Spain,37.6,,,29.75,42.186476,,,,-2.179975,,,,,,,Spain Power Plants Over 10 MW.csv
1287,Larriba hornillos,,,Hornillos,Wind,,,Wind,,,,,Spain,,,Spain,35.5,,,58.0,42.188998,,,,-2.295061,,,,,,,Spain Power Plants Over 10 MW.csv
1288,Wolf bog,,,Wolf bog,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,10.0,,,10.0,54.7666667,,,54.65688285,-6.0166667,,,-6.5634352097,,,,UK Power Plant.csv
1289,Somolinos,,,Somolinos,Wind,,,Wind,,,,,Spain,,,Spain,10.6,,,10.56,41.2460630522,,,,-3.06003570557,,,,,,,Spain Power Plants Over 10 MW.csv
1290,Cerro palo,,,Palo,Wind,,,Wind,,,,,Spain,,,Spain,49.5,,,49.5,39.40849,,,,-2.201728,,,,,,,Spain Power Plants Over 10 MW.csv
1291,Lafortunada cinca,,,Lafortunada cinca,Hydro,,,Hydro,,,,,Spain,,,Spain,42.0,,,41.4,42.574054,,,,0.182409,,,,,,,Spain Power Plants Over 10 MW.csv
1292,Soutelo,,,Soutelo,Hydro,,,Hydro,,,,,Spain,,,Spain,213.0,,,213.64,43.300394,,,,-6.923518,,,,,,,Spain Power Plants Over 10 MW.csv
1293,Santurce,,,Ct santurce,Oil,,,Oil,,,,,Spain,,,Spain,1336.23,,,897.02,43.3284244401,,,,-3.03248405457,,,,,,,Spain Power Plants Over 10 MW.csv
1294,Reventones,,,Reventones,Wind,,,Wind,,,,,Spain,,,Spain,34.0,,,34.0,38.479167,,,,-1.325,,,,,,,Spain Power Plants Over 10 MW.csv
1295,Fuendetodos,,,Fuendetodos unificado,Wind,,,Wind,,,,,Spain,,,Spain,93.6,,,93.2,41.342449,,,,-0.959883,,,,,,,Spain Power Plants Over 10 MW.csv
1296,Santiago jares,,,Santiago jares,Hydro,,,Hydro,,,,,Spain,,,Spain,51.2,,,53.15,43.49489,,,,-7.242148,,,,,,,Spain Power Plants Over 10 MW.csv
1297,Valparaiso,,,Valparaiso,Hydro,,,Hydro,,,,,Spain,,,Spain,67.5,,,65.1,42.022834,,,,-6.330268,,,,,,,Spain Power Plants Over 10 MW.csv
1298,Dona benita,,,Dona benita cuellar,Wind,,,Wind,,,,,Spain,,,Spain,32.0,,,32.0,36.686454,,,,-6.136063,,,,,,,Spain Power Plants Over 10 MW.csv
1299,Bullana,,,Bullana,Wind,,,Wind,,,,,Spain,,,Spain,38.0,,,38.0,42.968437,,,,-7.085408,,,,,,,Spain Power Plants Over 10 MW.csv
1300,Eggborough,,,Eggborough,Coal,,,Coal,,,,,United Kingdom,,,United Kingdom,2035.0,,,1960.0,53.713731,,,53.93092085,-1.125276,,,-1.1668220316,,,,UK Power Plant.csv
1301,Green knowes,,,Green knowes,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,27.0,,,27.0,56.2217202302,,,56.7861112,-3.62683896116,,,-4.1140517,,,,UK Power Plant.csv
1302,Cabezuelo,,,Cabezuelo,Wind,,,Wind,,,,,Spain,,,Spain,30.0,,,30.0,39.2333333,,,,-1.75,,,,,,,Spain Power Plants Over 10 MW.csv
1303,Meira,,,Serra meira,Wind,,,Wind,,,,,Spain,,,Spain,49.3,,,49.3,43.2133709635,,,,-7.29372024536,,,,,,,Spain Power Plants Over 10 MW.csv
1304,Milazzo,,,Milazzo,Natural Gas,,,Natural Gas,,,,,Italy,,,Italy,165.68,,,162.9,38.221166,,,38.2208049,15.238283,,,15.2415129,,,,Italy Power Plant.csv
1305,Red tile,,,Red tile,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,24.0,,,24.0,52.4540479985,,,52.79657515,0.050060749054,,,-0.6718222068,,,,UK Power Plant.csv
1306,Layna,,,Layna,Wind,,,Wind,,,,,Spain,,,Spain,50.0,,,50.0,41.099143,,,,-2.30439,,,,,,,Spain Power Plants Over 10 MW.csv
1307,Hartlepool,,,Hartlepool,Nuclear,,,Nuclear,,,,,United Kingdom,,,United Kingdom,1390.0,,,1310.0,54.635,,,,-1.1808333333,,,,,,,EU Nuclear Power.csv
1308,Puente bibey,,,Puente bibey,Hydro,,,Hydro,,,,,Spain,,,Spain,284.8,,,312.41,42.309624996,,,,-7.23209381104,,,,,,,Spain Power Plants Over 10 MW.csv
1309,High hedley hope,,,High hedley,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,7.45,,,7.0,54.7445601434,,,50.5949824,-1.81434051768,,,-1.9518955,,,,UK Power Plant.csv
1310,Cold northcott,,,Cold northcott,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,6.7,,,7.0,50.6369859663,,,50.5947727,-4.36006486416,,,-1.9521986,,,,UK Power Plant.csv
1311,Cedegolo edison,,,Cedegolo,Hydro,,,Hydro,,,,,Italy,,,Italy,74.05,,,130.0,46.076697,,,,10.349562,,,,,,,Italy Power Plant.csv
1312,Centenar,,,Centenar,Wind,,,Wind,,,,,Spain,,,Spain,40.0,,,40.0,36.538950079,,,,-5.38681983948,,,,,,,Spain Power Plants Over 10 MW.csv
1313,Llangwyryfon,,,Llangwyryfon,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,9.35,,,9.0,52.4154823335,,,52.2928116,-4.08292293549,,,-3.7389299,,,,UK Power Plant.csv
1314,Deeping nicholas,,,Deeping,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,16.0,,,16.0,53.5833333,,,52.79657515,-2.4333333,,,-0.6718222068,,,,UK Power Plant.csv
1315,Trimdon,,,Trimdon grange,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,5.2,,,5.0,54.6987839262,,,50.5949824,-1.42881353507,,,-1.9518955,,,,UK Power Plant.csv
1316,Unteropfingen,,,Unteropfingen,Hydro,,,Hydro,,,,,Germany,,,Germany,14.1,,,14.2,48.0591516244,,,52.5773105,10.128364563,,,8.8640363567,,,,Germany Power Plants (conventional).csv
1317,Langley,,,Langley park,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,8.0,,,8.0,53.8333333,,,50.5949824,-2.5833333,,,-1.9518955,,,,UK Power Plant.csv
1318,Glems,,,Pumpspeicherkraftwerk glems,Hydro,,,Hydro,,,,,Germany,,,Germany,90.64,,,90.0,48.5079048631,,,48.5079406,9.31014060974,,,9.3096726,,,,Germany Power Plants (conventional).csv
1319,Hunterston,,,Hunterston,Nuclear,,,Nuclear,,,,,United Kingdom,,,United Kingdom,1320.0,,,1288.0,55.0,,,,-4.0,,,,,,,EU Nuclear Power.csv
1320,Marghera azotati,,,Azotati,Natural Gas,,,Natural Gas,,,,,Italy,,,Italy,264.2,,,240.0,45.4511111,,,45.4371908,12.2238889,,,12.3345899,,,,Italy Power Plant.csv
1321,Hinkley point,,,Hinkley point,Nuclear,,,Nuclear,,,,,United Kingdom,,,United Kingdom,1390.0,,,1310.0,51.0,,,,-3.0,,,,,,,EU Nuclear Power.csv
1322,Dungeness,,,Dungeness,Nuclear,,,Nuclear,,,,,United Kingdom,,,United Kingdom,1320.0,,,1230.0,50.9138888889,,,,0.9638888889,,,,,,,EU Nuclear Power.csv
1323,Iffezheim,,,Rheinkraftwerk iffezheim,Hydro,,,Hydro,,,,,Germany,,,Germany,108.0,,,146.0,48.8216716188,,,48.8227541,8.14310073853,,,8.1409267,,,,Germany Power Plants (conventional).csv
1324,Monteferrante,,,Monteferrante,Wind,,,Wind,,,,,Italy,,,Italy,24.6,,,105.24,41.954734,,,41.954734,14.388419,,,14.388419,,,,Italy Power Plant.csv
1325,Brindisi,,,Brindisi nord,Coal,,,Coal,,,,,Italy,,,Italy,1280.0,,,640.0,40.627731,,,40.6395295,17.936815,,,17.945526,,,,Italy Power Plant.csv
1326,Somplago,,,Somplago,Hydro,,,Hydro,,,,,Italy,,,Italy,166.3,,,220.0,46.3705556,,,,13.0436111,,,,,,,Italy Power Plant.csv
1327,Mese,,,Mese,Hydro,,,Hydro,,,,,Italy,,,Italy,151.2,,,164.34,46.306294,,,46.306294,9.382335,,,9.382335,,,,Italy Power Plant.csv
1328,Zas,,,Eolica zas,Wind,,,Wind,,,,,Spain,,,Spain,24.0,,,24.0,42.9166667,,,,-8.7666667,,,,,,,Spain Power Plants Over 10 MW.csv
1329,Boqueron,,,Boqueron unificado,Wind,,,Wind,,,,,Spain,,,Spain,49.5,,,71.5,41.834122,,,,-1.532708,,,,,,,Spain Power Plants Over 10 MW.csv
1330,Gendorf,,,Industriepark werk gendorf,Natural Gas,,,Natural Gas,,,,,Germany,,,Germany,52.93,,,49.0,48.1666667,,,48.1666838,12.7333333,,,12.7279263,,,,Germany Power Plants (conventional).csv
1331,Corme,,,Corme,Wind,,,Wind,,,,,Spain,,,Spain,18.3,,,18.3,43.2432645245,,,,-8.9008140564,,,,,,,Spain Power Plants Over 10 MW.csv
1332,Las lomillas,,,Lomillas,Wind,,,Wind,,,,,Spain,,,Spain,49.5,,,61.5,39.5,,,,-2.1666667,,,,,,,Spain Power Plants Over 10 MW.csv
1333,Baos pumar,,,Baos pumar,Wind,,,Wind,,,,,Spain,,,Spain,30.6,,,30.6,43.4118024752,,,,-6.26023292542,,,,,,,Spain Power Plants Over 10 MW.csv
1334,Cortado,,,Cortado,Wind,,,Wind,,,,,Spain,,,Spain,36.48,,,31.98,41.73892,,,,-2.169678,,,,,,,Spain Power Plants Over 10 MW.csv
1335,Belmonte,,,Belmonte,Wind,,,Wind,,,,,Spain,,,Spain,34.85,,,34.85,43.2824541424,,,,-6.21817588806,,,,,,,Spain Power Plants Over 10 MW.csv
1336,Juan grande edp,,,Grande,Wind,,,Wind,,,,,Spain,,,Spain,20.1,,,17.16,29.000934035,,,,-13.6130046844,,,,,,,Spain Power Plants Over 10 MW.csv
1337,Borja,,,Borja,Wind,,,Wind,,,,,Spain,,,Spain,37.66,,,37.51,41.834122,,,,-1.532708,,,,,,,Spain Power Plants Over 10 MW.csv
1338,Dehesica,,,Dehesica,Wind,,,Wind,,,,,Spain,,,Spain,28.5,,,28.5,39.2166667,,,,-2.15,,,,,,,Spain Power Plants Over 10 MW.csv
1339,Hoya gonzalo,,,Hoya gonzalo,Wind,,,Wind,,,,,Spain,,,Spain,49.5,,,49.5,38.957904,,,,-1.556794,,,,,,,Spain Power Plants Over 10 MW.csv
1340,Planas pola,,,Pansas,Wind,,,Wind,,,,,Spain,,,Spain,35.64,,,24.4,41.918037,,,,-1.253428,,,,,,,Spain Power Plants Over 10 MW.csv
1341,Sotonera,,,Sotonera,Wind,,,Wind,,,,,Spain,,,Spain,18.9,,,18.9,42.015412,,,,-0.761502,,,,,,,Spain Power Plants Over 10 MW.csv
1342,Enix,,,Enix,Wind,,,Wind,,,,,Spain,,,Spain,13.2,,,13.2,36.877325,,,,-2.601803,,,,,,,Spain Power Plants Over 10 MW.csv
1343,Curiscao,,,Curiscao,Wind,,,Wind,,,,,Spain,,,Spain,30.6,,,42.5,43.4118024752,,,,-6.26023292542,,,,,,,Spain Power Plants Over 10 MW.csv
1344,Navica,,,Navica,Wind,,,Wind,,,,,Spain,,,Spain,30.0,,,30.0,39.2166667,,,,-2.15,,,,,,,Spain Power Plants Over 10 MW.csv
1345,Munera edp,,,Munera,Wind,,,Wind,,,,,Spain,,,Spain,70.2,,,70.2,39.042167,,,,-2.480684,,,,,,,Spain Power Plants Over 10 MW.csv
1346,Magallon,,,Magallon,Wind,,,Wind,,,,,Spain,,,Spain,50.8,,,50.8,41.832478,,,,-1.459792,,,,,,,Spain Power Plants Over 10 MW.csv
1347,Tahivilla,,,Tahivilla,Wind,,,Wind,,,,,Spain,,,Spain,30.0,,,30.0,36.01393,,,,-5.606949,,,,,,,Spain Power Plants Over 10 MW.csv
1348,Rabosera,,,Rabosera,Wind,,,Wind,,,,,Spain,,,Spain,31.35,,,31.35,42.048177,,,,-0.910253,,,,,,,Spain Power Plants Over 10 MW.csv
1349,Ponte rebordelo,,,Ponte rebordelo,Wind,,,Wind,,,,,Spain,,,Spain,40.3,,,40.3,43.008363,,,,-9.113281,,,,,,,Spain Power Plants Over 10 MW.csv
1350,Dehesa cosojar,,,Dehesa coscojar,Wind,,,Wind,,,,,Spain,,,Spain,30.0,,,15.0,41.900642,,,,-1.41994,,,,,,,Spain Power Plants Over 10 MW.csv
1351,Aguila edp,,,Aguila,Wind,,,Wind,,,,,Spain,,,Spain,19.5,,,19.5,41.791019,,,,-1.213567,,,,,,,Spain Power Plants Over 10 MW.csv
1352,Las navas,,,Navas,Wind,,,Wind,,,,,Spain,,,Spain,48.84,,,25.86,40.602442,,,,-4.334488,,,,,,,Spain Power Plants Over 10 MW.csv
1353,Juan bargas,,,Juan bargas unif. ver re,Wind,,,Wind,,,,,Spain,,,Spain,44.8,,,44.8,41.815718,,,,-1.488188,,,,,,,Spain Power Plants Over 10 MW.csv
1354,Krefeld,,,Mkva krefeld,Waste,,,Waste,,,,,Germany,,,Germany,14.8,,,33.1,51.3333333,,,51.3331205,6.5666667,,,6.5623343,,,,Germany Power Plants (conventional).csv
1355,Strandfossen,,,Strandfossen,Hydro,,,Hydro,,,,,Norway,,,Norway,22.64,,,26.0,60.88191,,,,11.56231,,,,,,,Norway Power Plants (ENTSOE) .csv
1356,Lutufallet,,,Lutufallet,Hydro,,,Hydro,,,,,Norway,,,Norway,14.7,,,15.0,61.31484,,,,12.26374,,,,,,,Norway Power Plants (ENTSOE) .csv
1357,Osfallet,,,Osfallet,Hydro,,,Hydro,,,,,Norway,,,Norway,5.5,,,6.0,61.1333333,,,,11.3833333,,,,,,,Norway Power Plants (ENTSOE) .csv
1358,Osa,,,Osa,Hydro,,,Hydro,,,,,Norway,,,Norway,90.0,,,96.0,61.13484,,,,11.36409,,,,,,,Norway Power Plants (ENTSOE) .csv
1359,Sagnfossen,,,Sagnfossen,Hydro,,,Hydro,,,,,Norway,,,Norway,6.2,,,7.0,61.31484,,,,12.26374,,,,,,,Norway Power Plants (ENTSOE) .csv
1360,Mesna,,,Mesna,Hydro,,,Hydro,,,,,Norway,,,Norway,37.5,,,42.0,61.11514,,,,10.46628,,,,,,,Norway Power Plants (ENTSOE) .csv
1361,Lopet,,,Lopet,Hydro,,,Hydro,,,,,Norway,,,Norway,24.0,,,28.0,61.1333333,,,,11.3833333,,,,,,,Norway Power Plants (ENTSOE) .csv
1362,Rugeley,,,Rugeley,Coal,,,Coal,,,,,United Kingdom,,,United Kingdom,1050.0,,,1006.0,52.7568923,,,52.50542995,-1.9214401,,,-1.964676524,,,,UK Power Plant.csv
1363,Vittingfoss,,,Vittingfoss,Hydro,,,Hydro,,,,,Norway,,,Norway,11.4,,,22.0,59.4833333,,,,10.0166667,,,,,,,Norway Power Plants (ENTSOE) .csv
1364,Montarguli,,,Montargull,Wind,,,Wind,,,,,Spain,,,Spain,44.0,,,44.0,42.0166667,,,,2.7166667,,,,,,,Spain Power Plants Over 10 MW.csv
1365,Forques,,,Les forques,Wind,,,Wind,,,,,Spain,,,Spain,30.0,,,30.0,41.4833333,,,,1.2333333,,,,,,,Spain Power Plants Over 10 MW.csv
1366,Farrapa,,,Farrapa,Wind,,,Wind,,,,,Spain,,,Spain,30.0,,,20.0,43.3666667,,,,-7.4833333,,,,,,,Spain Power Plants Over 10 MW.csv
1367,Castrios,,,Castrios,Wind,,,Wind,,,,,Spain,,,Spain,26.4,,,26.4,38.15,,,,-1.0166667,,,,,,,Spain Power Plants Over 10 MW.csv
1368,Carcelen,,,Carcelen,Wind,,,Wind,,,,,Spain,,,Spain,49.6,,,49.6,39.102024,,,,-1.308787,,,,,,,Spain Power Plants Over 10 MW.csv
1369,Lezuza,,,Lezuza,Wind,,,Wind,,,,,Spain,,,Spain,30.0,,,30.0,38.9497,,,,-2.35419,,,,,,,Spain Power Plants Over 10 MW.csv
1370,Herreria,,,Herreria,Wind,,,Wind,,,,,Spain,,,Spain,44.8,,,44.8,36.01393,,,,-5.606949,,,,,,,Spain Power Plants Over 10 MW.csv
1371,Penas grandes,,,Penas grandes,Wind,,,Wind,,,,,Spain,,,Spain,14.4,,,14.4,42.4666667,,,,-8.4666667,,,,,,,Spain Power Plants Over 10 MW.csv
1372,Caparroso,,,Caparroso,Wind,,,Wind,,,,,Spain,,,Spain,30.1,,,30.1,42.341293,,,,-1.64962,,,,,,,Spain Power Plants Over 10 MW.csv
1373,Farelo,,,Farelo,Wind,,,Wind,,,,,Spain,,,Spain,28.8,,,28.8,43.723013,,,,-7.66118,,,,,,,Spain Power Plants Over 10 MW.csv
1374,Bandera,,,Plana bandera,Wind,,,Wind,,,,,Spain,,,Spain,31.35,,,30.1,42.020866,,,,-1.485263,,,,,,,Spain Power Plants Over 10 MW.csv
1375,Montes cierzo,,,Montes cierzo,Wind,,,Wind,,,,,Spain,,,Spain,59.5,,,59.5,42.0616560638,,,,-1.60451889038,,,,,,,Spain Power Plants Over 10 MW.csv
1376,Gregorio,,,Gregorio,Wind,,,Wind,,,,,Spain,,,Spain,15.0,,,15.0,42.032494,,,,-1.525907,,,,,,,Spain Power Plants Over 10 MW.csv
1377,Cabezas,,,Cabeza mesa,Wind,,,Wind,,,,,Spain,,,Spain,36.8,,,29.6,42.65193,,,,-7.95519,,,,,,,Spain Power Plants Over 10 MW.csv
1378,Paramo pozo,,,Paramo poza,Wind,,,Wind,,,,,Spain,,,Spain,99.75,,,164.76,42.665415,,,,-3.5014,,,,,,,Spain Power Plants Over 10 MW.csv
1379,Plana jarreta,,,Plana jarreta,Wind,,,Wind,,,,,Spain,,,Spain,49.5,,,49.5,41.580138,,,,-1.117193,,,,,,,Spain Power Plants Over 10 MW.csv
1380,Rhyl flats,,,Rhyl flats,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,90.0,,,90.0,53.2843647229,,,52.2928116,-3.58219964064,,,-3.7389299,,,,UK Power Plant.csv
1381,Zielitz,,,Zielitz,Natural Gas,,,Natural Gas,,,,,Germany,,,Germany,20.9,,,52.0,52.2895826071,,,52.2884504,11.6757202148,,,11.6752462,,,,Germany Power Plants (conventional).csv
1382,Bramois,,,Bramois groupe,Hydro,,,Hydro,,,,,Switzerland,,,Switzerland,27.35,,,25.63,46.232644,,,46.9739978,7.40341,,,8.4205883,,,,Switzerland Power Plant.csv
1383,Cantiruelas,,,Cantiruela,Wind,,,Wind,,,,,Spain,,,Spain,15.0,,,15.0,41.880445,,,,-4.362428,,,,,,,Spain Power Plants Over 10 MW.csv
1384,Fomentara,,,Formentera,Oil,,,Oil,,,,,Spain,,,Spain,14.0,,,11.5,38.7,,,,1.4666667,,,,,,,Spain Power Plants Over 10 MW.csv
1385,Almaren,,,Almaren unificado,Wind,,,Wind,,,,,Spain,,,Spain,11.9,,,11.9,41.485954,,,,-1.595011,,,,,,,Spain Power Plants Over 10 MW.csv
1386,Tawnaghmore,,,Tawnaghmore,Oil,,,Oil,,,,,Ireland,,,Ireland,100.0,,,104.0,54.1166667,,,,-9.1666667,,,,,,,Ireland and Northern Ireland.csv
1387,Jinamar,,,Jinamar,Oil,,,Oil,,,,,Spain,,,Spain,440.6,,,234.46,28.042431,,,,-15.411372,,,,,,,Spain Power Plants Over 10 MW.csv
1388,Leboreiro endesa,,,Leboreiro,Wind,,,Wind,,,,,Spain,,,Spain,21.12,,,21.12,43.466846,,,,-7.723832,,,,,,,Spain Power Plants Over 10 MW.csv
1389,Arona,,,Arona,Oil,,,Oil,,,,,Spain,,,Spain,50.0,,,43.2,28.0996194056,,,,-16.681022644,,,,,,,Spain Power Plants Over 10 MW.csv
1390,Cortijo iruelas,,,Cortijo iruelas,Wind,,,Wind,,,,,Spain,,,Spain,13.6,,,13.6,37.3166667,,,,-4.05,,,,,,,Spain Power Plants Over 10 MW.csv
1391,Bustelo,,,Bustelo,Wind,,,Wind,,,,,Spain,,,Spain,24.7,,,24.7,43.466846,,,,-7.723832,,,,,,,Spain Power Plants Over 10 MW.csv
1392,Guia isora,,,Guia isora,Oil,,,Oil,,,,,Spain,,,Spain,50.0,,,43.1,28.2115416727,,,,-16.7794704437,,,,,,,Spain Power Plants Over 10 MW.csv
