None,Name,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Fueltype,Technology,Technology,Technology,Technology,Technology,Set,Set,Set,Set,Set,Country,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,Capacity,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,lat,lat,lat,lat,lat,lon,lon,lon,lon,lon,File,File,File,File,File,projectID,projectID,projectID,projectID,projectID
None,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI
1232,Montezic,Montezic,Montezic pump,Montezic,,Hydro,Hydro,Hydro,Hydro,,,,Pumped Storage,Pumped Storage,,PP,PP,PP,PP,,France,France,France,France,,912.0,910.0,910.0,910.0,,,,,,,44.709535,,44.734,44.73766,,2.639448,,2.641,2.64342,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[29248],17W100P100P02772,G860,[OEU126],
1233,Muehleberg,Kkw mühleberg kkm,Muehlberg,Mühleberg,,Nuclear,Nuclear,Nuclear,Nuclear,,,,,Steam Turbine,,PP,PP,PP,PP,,Switzerland,Switzerland,Switzerland,Switzerland,,372.0,380.0,372.0,390.0,,,,,1972.0,,46.9688888889,,46.969,45.96917,,7.2680555556,,7.268,7.26961,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Schweizerische Eidgenossenschaft,,[29733],12W-0000000057-Z,G1304,[OEU1033],
1234,Niederaussem,Niederaußem,Niederaussem,Niederaußem,,Hard Coal,Lignite,Lignite,Lignite,,,,Steam Turbine,Steam Turbine,,PP,,PP,PP,,Germany,Germany,Germany,Germany,,3826.0,3366.0,3400.0,3680.0,,,,,1963.0,,50.9955555556,,50.9921,50.995692,,6.6691666667,,6.6666,6.669039,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[31142],11WD7NIED-B-KW-5,G76,"[BNA0706, BNA0707, BNA0713, BNA0710, BNA0712, BNA0708, BNA0709, BNA0705, BNA0711]",
1235,Nogent,Nogent,Nogent,Nogent,,Nuclear,Nuclear,Nuclear,Nuclear,,,,,Steam Turbine,,PP,PP,PP,PP,,France,France,France,France,,2726.0,1310.0,2726.0,2620.0,,,,,,,48.5152777778,,48.5170848669,48.5153,,3.5177777778,,3.51809949311,3.51776,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[31426],17W100P100P0220V,G1269,"[OEU222, OEU221]",
1236,Nossener bruecke,Gthkw nossener bruecke,Nossener brücke,Dresden nossener brücke,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,CCGT,CCGT,,PP,CHP,CHP,CHP,,Germany,,Germany,Germany,,268.0,270.0,270.0,263.0,,,,,1995.0,,51.050891081,,51.04206,51.042119,,13.7383174896,,13.7086,13.708597,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[31724],11WD8DRES5X---PZ,G349,[BNA0207],
1237,Opole,Opole,Opole,Opole,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,,,PP,,PP,PP,,Poland,Poland,Poland,Poland,,1490.0,1532.0,1532.0,1532.0,,,,,,,50.751825,,50.751,50.75066,,17.881965,,17.8825,17.88729,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,,[32668],19W0000000001292,G143,"[OEU294, OEU291, OEU292, OEU293]",
1238,Oraison,Oraison,Oraison,Oraison,,Hydro,Hydro,Hydro,Hydro,,,,Run-Of-River,Reservoir,,PP,PP,PP,PP,,France,France,France,France,,192.5,187.0,195.0,187.0,,,,,,,43.9666667,,43.921,43.92101,,5.7833333,,5.925,5.92438,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[32690],17W100P100P0288Y,G831,[OEU165],
1239,Ostroleka,Ostrołęka,Ostroleka,Ostrołęka,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,,,CHP,,PP,PP,,Poland,Poland,Poland,Poland,,740.4,647.0,647.0,677.0,,,,,,,53.104444,,53.099,53.10462,,21.612028,,21.599,21.61312,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,,[33009],19W0000000001349,G141,"[OEU297, OEU296, OEU295]",
1240,Ottmarsheim,Ottmarsheim,Ottmarsheim,Ottmarsheim,,Hydro,Hydro,Hydro,Hydro,,,Run-of-river,Run-Of-River,Run-Of-River,,PP,PP,PP,PP,,France,France,France,France,,156.0,156.0,156.0,156.0,,,,,,,47.786551,,47.774,47.77399,,7.509352,,7.523,7.52246,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[33091],17W100P100P0306L,G897,[OEU146],
1241,Patnow,Pątnów,Patnow,Pątnów,,Hard Coal,Lignite,Lignite,Lignite,,,,Steam Turbine,,,PP,,PP,PP,,Poland,Poland,Poland,Poland,,1669.0,1222.0,464.0,1708.0,,,,,,,52.305487,,52.302,52.3024,,18.231726,,18.237,18.23807,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,,[33864],19W000000000142A,G161,"[OEU300, OEU304, OEU303, OEU302, OEU301, OEU298, OEU299]",
1242,Penly,Penly,Penly,Penly,,Nuclear,Nuclear,Nuclear,Nuclear,,,,,Steam Turbine,,PP,PP,PP,PP,,France,France,France,France,,2764.0,1330.0,2764.0,2660.0,,,,,,,49.9766666667,,49.9764408618,49.97599,,1.2119444444,,1.21073798197,1.21025,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[34150],17W100P100P0225L,G1281,"[OEU228, OEU227]",
1243,Pied borne,Pied borne,Pied borne,Pied borne,,Hydro,Hydro,Hydro,Hydro,,,,Reservoir,Reservoir,,PP,PP,PP,PP,,France,France,France,France,,110.0,109.4,110.0,109.4,,,,,,,44.4756859841,,44.479,44.47198,,3.98434638977,,3.986,3.98867,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[34551],17W100P100P0289W,G934,[OEU166],
1244,Polaniec,Połaniec,Polaniec,Połaniec,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,,,CHP,,PP,PP,,Poland,Poland,Poland,Poland,,1800.0,1657.0,1800.0,1657.0,,,,,,,50.438088,,50.437,50.43534,,21.336805,,21.337,21.33674,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,,[35099],19W0000000001519,G158,"[OEU312, OEU306, OEU307, OEU308, OEU309, OEU310, OEU311]",
1245,Porabka zar,Porąbka żar,Porabka zar,Porąbka żar,,Hydro,Hydro,Hydro,Hydro,,,,Pumped Storage,Pumped Storage,,PP,PP,PP,PP,,Poland,Poland,Poland,Poland,,512.45,540.0,500.0,540.0,,,,,,,49.8171638891,,49.7809,49.77957,,19.2183494568,,19.21148,19.212,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,,"[35310, 35311]",19W000000000247X,G1019,"[OEU314, OEU315, OEU316, OEU313]",
1246,Pouget,Pouget,Pouget le,Pouget,,Hydro,Hydro,Hydro,Hydro,,,,Reservoir,Reservoir,,PP,PP,PP,PP,,France,France,France,France,,416.1,446.9,572.5,446.9,,,,,,,44.049404,,44.06,43.65604,,2.755276,,2.769,3.40178,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,"[35556, 24759]",17W100P100P0290A,G851,[OEU167],
1247,Pragneres,Pragneres,Pragneres,Pragneres,,Hydro,Hydro,Hydro,Hydro,,,,Pumped Storage,Reservoir,,PP,PP,PP,PP,,France,France,France,France,,194.3,189.2,292.0,189.2,,,,,,,42.787162,,42.821,42.8211,,0.018884,,0.01,0.01033,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[35658],17W100P100P02918,G913,[OEU168],
1248,Reuter west,Hkw reuter west,Reuter west,Reuter west,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,Steam Turbine,,CHP,CHP,CHP,CHP,,Germany,Germany,Germany,Germany,,600.0,564.0,600.0,688.0,,,,,1969.0,,52.53525965,,52.535,52.53410728,,13.24373542,,13.2427,13.2437875067,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[37138],11WD8REUW1C----4,G58,"[BNA0082, BNA0086, BNA0087]",
1249,Revin,Revin,Revin pump,Revin,,Hydro,Hydro,Hydro,Hydro,,,,Pumped Storage,Pumped Storage,,PP,PP,PP,PP,,France,France,France,France,,802.0,808.0,800.0,808.0,,,,,,,49.9403942274,,49.92537,49.92556,,4.63502883911,,4.614,4.61331,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[37152],17W100P100P02780,G843,[OEU127],
1250,Rhinau,Rhinau,Rhinau,Rhinau,,Hydro,Hydro,Hydro,Hydro,,,Run-of-river,Run-Of-River,Run-Of-River,,PP,PP,PP,PP,,France,France,France,France,,160.8,167.8,152.0,167.8,,,,,,,48.2905032171,,48.284,48.28412,,7.66450881958,,7.678,7.67728,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[37190],17W100P100P0304P,G863,[OEU149],
1251,Rostock,Kraftwerk rostock,Rostock,Kng rostock,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,Steam Turbine,,CHP,,CHP,PP,,Germany,Germany,Germany,Germany,,550.0,514.0,553.0,514.0,,,,,1994.0,,54.14282177,,54.1414,54.14282177,,12.13287489,,12.1319,12.13287489,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[38027],11WD8ROST1C---P5,G65,[BNA0849],
1252,Rybnik,Rybnik,Rybnik,Rybnik,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,,,CHP,,PP,PP,,Poland,Poland,Poland,Poland,,1720.0,1775.0,1775.0,1780.0,,,,,,,50.13333,,50.135,50.1317,,18.52361,,18.5223,18.52045,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,,[38356],19W0000000001713,G154,"[OEU323, OEU322, OEU324, OEU319, OEU321, OEU320, OEU318, OEU317]",
1253,Sainte croix,Sainte croix,Sainte croix,Sainte croix,,Hydro,Hydro,Hydro,Hydro,,,,Reservoir,Reservoir,,PP,PP,PP,PP,,France,France,France,France,,140.82,132.3,158.0,132.3,,,,,,,43.75,,43.737,43.73687,,6.15,,6.134,6.13423,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[38732],17W100P100P0297X,G837,[OEU172],
1254,Sambre poweo,Pont sur sambre,Pont sur sambre combustion,Pont sur sambre,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,CCGT,,,PP,,PP,PP,,France,France,France,France,,412.0,412.0,412.0,412.0,,,,,2009.0,,50.23,,50.23084,50.22915,,3.84,,3.8653,3.86807,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[35210],17W100P100P0341J,G326,[OEU120],
1255,Sarrans,Sarrans,Sarrans,Sarrans,,Hydro,Hydro,Hydro,Hydro,,,,Reservoir,Reservoir,,PP,PP,PP,PP,,France,France,France,France,,121.32,183.0,180.0,183.0,,,,,,,44.843657,,44.83,44.82942,,2.661189,,2.74,2.74042,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[39876],17W100P100P02934,G853,[OEU173],
1256,Schkopau,Schkopau,Schkopau,Schkopau,,Hard Coal,Lignite,Lignite,Lignite,,,,Steam Turbine,Steam Turbine,,CHP,,CHP,PP,,Germany,Germany,Germany,Germany,,960.0,900.0,916.0,900.0,,,,,1996.0,,51.39845463,,51.39845,51.39845463,,11.9504201,,11.95032,11.9504201,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[40111],11WD8SCHK1L----O,G93,"[BNA0879, BNA0878]",
1257,Schwarze pumpe,Schwarze pumpe,Schwarze pumpe,Schwarze pumpe,,Hard Coal,Lignite,Lignite,Lignite,,,,Steam Turbine,Steam Turbine,,CHP,,PP,PP,,Germany,,Germany,Germany,,1600.0,1524.0,1600.0,1500.0,,,,,1997.0,,51.53537295,,51.5357,51.53482028,,14.35383702,,14.3538,14.35312271,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[40231],11WD8SWPU1L----5,G60,"[BNA0915, BNA0914]",
1258,Serre poncon,Serre poncon,Serre poncon,Serre poncon,,Hydro,Hydro,Hydro,Hydro,,,,Reservoir,Reservoir,,PP,PP,PP,PP,,France,France,France,France,,384.0,384.0,360.0,384.0,,,,,,,44.465767,,44.47,44.47095,,6.217905,,6.269,6.26967,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[40662],17W100P100P02926,G907,[OEU174],
1259,Siersza,Siersza,Tauron siersza,Siersza,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,,,CHP,,PP,PP,,Poland,Poland,Poland,Poland,,794.0,677.0,676.0,677.0,,,,,,,50.1593052391,,50.2086,50.20761,,19.4696617126,,19.4609,19.46145,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,,[41552],19W0000000002361,G138,"[OEU328, OEU329, OEU325, OEU326, OEU327]",
1260,Sisteron,Sisteron,Sisteron,Sisteron,,Hydro,Hydro,Hydro,Hydro,,,,Reservoir,Reservoir,,PP,PP,PP,PP,,France,France,France,France,,214.0,214.0,256.0,214.0,,,,,,,44.18758,,44.21,44.17517,,5.946228,,5.921,5.95215,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[41802],17W100P100P02942,G910,[OEU175],
1261,Solina,Solina,Solina,Solina hydrozespół,,Hydro,Hydro,Hydro,Hydro,,,,Pumped Storage,Pumped Storage,,PP,PP,PP,PP,,Poland,Poland,Poland,Poland,,200.0,198.0,200.0,198.0,,,,,,,49.3948875169,,49.3956,49.39578,,22.4596595764,,22.454,22.454,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,,[42275],19W0000000002515,G1015,"[OEU332, OEU333, OEU330, OEU331]",
1262,Stalowa wola,Stalowa wola,Tauron stalowa wola,Stalowa wola,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,,,CHP,,PP,PP,,Poland,Poland,Poland,Poland,,350.0,250.0,250.0,250.0,,,,,,,50.55,,50.5525,50.55071,,22.06667,,22.081111,22.07761,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,,[43030],19W000000000193U,G144,"[OEU335, OEU334]",
1263,Staudinger,Staudinger,Großkrotzenburg staudinger,Staudinger,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,Steam Turbine,,CHP,,CHP,"CHP, PP",,Germany,Germany,Germany,Germany,,1752.0,1132.0,1823.0,1052.0,,,,,1965.0,,50.0876486,,50.088,50.088553,,8.953481922,,8.9522,8.953399,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[43107],11WD2STAU0001800,G61,"[BNA0377, BNA0376, BNA0375]",
1264,Strasbourg,Strasbourg,Strasbourg,Strasbourg,,Hydro,Hydro,Hydro,Hydro,,,Run-of-river,Run-Of-River,Run-Of-River,,PP,PP,PP,PP,,France,France,France,France,,174.82,148.0,141.0,148.0,,,,,,,48.5834211287,,48.526,48.52561,,7.74295806885,,7.797,7.79456,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[43408],17W100P100P0308H,G865,[OEU153],
1265,Turow,Turów,Turow,Turów,,Hard Coal,Lignite,Lignite,Lignite,,,,Steam Turbine,,,CHP,,CHP,PP,,Poland,Poland,Poland,Poland,,2105.0,1488.0,1900.0,1488.0,,,,,,,50.948611,,50.948,50.94818,,14.913056,,14.911,14.91255,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,,[46668],19W000000000199I,G128,"[OEU337, OEU339, OEU340, OEU341, OEU336, OEU338]",
1266,Vianden,Vianden,Vianden luxembourg,Psw vianden,,Hydro,Hydro,Hydro,Hydro,,,,Pumped Storage,Run-Of-River,,PP,PP,PP,PP,,Luxembourg,Luxembourg,Luxembourg,Luxembourg,,1103.4,1291.0,1296.0,1291.0,,,,,1962.0,,49.935,,49.9518,49.952190741,,6.2088889,,6.1784,6.1786439156,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[48071],11WD72VIA2H-KW-0,G994,"[BNA0984, BNA1675, BNA0987, BNA0986, BNA0980, BNA0983, BNA0982, BNA0981, BNA0979, BNA0978, BNA0985]",
1267,Villarodin mont cenis,Villarodin,Villarodin,Villarodin,,Hydro,Hydro,Hydro,Hydro,,,,Reservoir,Reservoir,,PP,PP,PP,PP,,France,France,France,France,,360.0,357.0,360.0,357.0,,,,,,,45.2,,45.213,45.21466,,6.6666667,,6.721,6.71208,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[48282],17W100P100P0300X,G946,[OEU177],
1268,Voerde,Kraftwerk voerde,Voerde,Voerde,,Hard Coal,Coal,Lignite,Hard Coal,,,,Steam Turbine,Steam Turbine,,"PP, CHP",,PP,PP,,Germany,Germany,Germany,Germany,,2222.0,1390.0,2234.0,1390.0,,,,,1982.0,,51.589769695,,51.5771,51.576475,,6.671043378,,6.6814,6.689428,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,"[48464, 49302]",11WD7VOER1S--KWG,G69,"[BNA0992, BNA0991]",
1269,Vouglans,Vouglans,Vouglans,Vouglans,,Hydro,Hydro,Hydro,Hydro,,,,Reservoir,Reservoir,,PP,PP,PP,PP,,France,France,France,France,,288.0,285.0,262.0,285.0,,,,,,,46.4034802338,,46.397,46.39734,,5.6488609314,,5.666,5.66556,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[48562],17W100P100P0301V,G929,[OEU178],
1270,Walsum,Walsum,Duisburg walsum,Walsum,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,Steam Turbine,,CHP,,CHP,"CHP, PP",,Germany,Germany,Germany,Germany,,560.0,1095.0,1285.0,1224.0,,,,,1959.0,,51.48425093,,51.52849,51.5273503333,,6.72723283,,6.71389,6.71643466667,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[48832],11WD7WALS1S--KW0,G78,"[BNA0216b, BNA0215, BNA0216a]",
1271,Wedel,Hkw wedel,Wedel,Wedel,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,Steam Turbine,,CHP,CHP,CHP,CHP,,Germany,,Germany,Germany,,392.0,250.0,391.7,260.0,,,,,1961.0,,53.56645804,,53.5667,53.56695702,,9.725653553,,9.72528,9.724445343,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[49123],11WD8WED15C----Q,G94,"[BNA0403, BNA0404]",
1272,Weisweiler,Weisweiler,Weisweiler,Weisweiler,,Hard Coal,Lignite,Lignite,Lignite,,,,Steam Turbine,Steam Turbine,,PP,,PP,PP,,Germany,Germany,Germany,Germany,,2480.0,2426.0,2180.0,2058.0,,,,,1955.0,,50.8331277,,50.8387,50.839167,,6.314631688,,6.3219,6.321111,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[49187],11WD7WEIS-B-KW-C,G75,"[BNA1021, BNA1025, BNA1022, BNA1026, BNA1027, BNA1028]",
1273,Werdohl elverlingsen,Elverlingsen,Werdohl elverlingsen,Werdohl elverlingsen,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,,Steam Turbine,,PP,,PP,PP,,Germany,Germany,Germany,Germany,,744.5,325.0,487.0,496.0,,,,,1971.0,,,,51.2758704958,51.2759755,,,,7.70679116249,7.7060185,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[49248],11WD7GARE5XELKWD,G66,"[BNA1037, BNA1035]",
1274,Wilhelmshaven,Wilhelmshaven,Wilhelmshaven,Wilhelmshaven,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,Steam Turbine,,PP,,PP,PP,,Germany,Germany,Germany,Germany,,826.0,757.0,757.0,1488.0,,,,,1976.0,,53.56493407,,53.5647,53.565819,,8.146894208,,8.1469,8.146245,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[49710],11WD2WI1K000303F,G63,"[BNA1674, BNA1061]",
1275,Zarnowiec,Żarnowiec,Zarnowiec,Żarnowiec,,Hydro,Hydro,Hydro,Hydro,,,,Pumped Storage,Pumped Storage,,PP,PP,PP,PP,,Poland,Poland,Poland,Poland,,720.0,716.0,716.0,716.0,,,,,,,54.7877204056,,54.7225,54.74201,,18.0850410461,,18.0825,18.08924,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,,[50891],19W0000000002418,G1018,"[OEU343, OEU344, OEU345, OEU342]",
1276,Zolling,Kraftwerk zolling,Zolling,Zolling,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,Steam Turbine,,CHP,,CHP,CHP,,Germany,Germany,Germany,Germany,,500.0,472.0,474.0,472.0,,,,,1986.0,,48.45518143,,48.4554,48.455353,,11.79959188,,11.8017,11.799456,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[51056],11WD2ZOLL0002880,G56,[BNA1093],
1277,Zydowo,Żydowo,Zydowo,Żydowo,,Hydro,Hydro,Hydro,Hydro,,,,Pumped Storage,Pumped Storage,,PP,PP,PP,PP,,Poland,Poland,Poland,Poland,,150.0,157.0,151.0,157.0,,,,,,,52.550119,,54.024965,54.02601,,16.752855,,16.7069,16.71386,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,,[51126],19W0000000002426,G1022,"[OEU346, OEU347, OEU348]",
1278,,Boxberg,Boxberg,Boxberg,,,Lignite,Lignite,Lignite,,,,,Steam Turbine,,,,PP,PP,,,Germany,Germany,Germany,,,2484.0,2575.0,2427.0,,,,,1979.0,,,,51.4161,51.4169923775,,,,14.564722,14.563911585,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,,11WD8BOXB1L----J,G91,"[BNA0124, BNA1404, BNA0122, BNA0123]",
1279,,Combe d'avrieux,Aussois + combe d'avrieux,Combe d'avrieux,,,Hydro,Hydro,Hydro,,,,Reservoir,Reservoir,,,PP,PP,PP,,,France,France,France,,,123.0,198.0,123.0,,,,,,,,,45.215,45.21348,,,,6.712,6.72053,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,,17W100P100P02837,G947,[OEU160],
1280,,Combigolfe,Combigolfe,Combigolfe,,,Natural Gas,Natural Gas,Natural Gas,,,,CCGT,,,,,PP,PP,,,France,France,France,,,425.0,430.0,425.0,,,,,2010.0,,,,43.4072,43.41616,,,,4.8676,4.86974,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,,17W100P100P0337A,G320,[OEU110],
1281,,Croix metz,Croix metz toul,Croix metz,,,Natural Gas,Natural Gas,Natural Gas,,,,CCGT,,,,,PP,PP,,,France,France,France,,,413.0,413.0,413.0,,,,,2012.0,,,,48.675,48.69336,,,,5.8917,5.91468,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,,17W100P100P0340L,G324,[OEU112],
1282,,Enecogen,Enecogen,Enecogen,,,Natural Gas,Natural Gas,Natural Gas,,,,CCGT,,,,,PP,PP,,,Netherlands,Netherlands,Netherlands,,,860.0,870.0,860.0,,,,,,,,,51.957,51.95783,,,,4.0916,4.09246,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q22015,,,49W000000000058P,G489,[OEU47],
