,ENTSOE,WEPP
1115,1540.0,30730.0
1116,1541.0,9096.0
1117,1543.0,22768.0
1118,1546.0,22876.0
1119,1547.0,22886.0
1120,1548.0,22627.0
1121,1549.0,22628.0
1122,1550.0,22929.0
1123,1551.0,22935.0
1124,1552.0,22947.0
1125,1553.0,22968.0
1126,1554.0,22987.0
1127,1555.0,22993.0
1128,1556.0,23014.0
1129,1557.0,23030.0
1130,1558.0,23067.0
1131,1560.0,23074.0
1132,1563.0,23123.0
1133,1564.0,23127.0
1134,1568.0,8544.0
1135,1569.0,10347.0
1136,1570.0,10877.0
1137,1571.0,12859.0
1138,1572.0,18016.0
1139,1573.0,23159.0
1140,1576.0,30256.0
1141,1577.0,21854.0
1142,1578.0,21793.0
1143,1579.0,23279.0
1144,1580.0,23312.0
1145,1581.0,23322.0
1146,1582.0,23335.0
1147,1584.0,23479.0
1148,1585.0,23502.0
1149,1586.0,23503.0
1150,1588.0,23507.0
1151,1589.0,23511.0
1152,1591.0,23544.0
1153,2027.0,2729.0
1154,1593.0,6854.0
1155,1594.0,23712.0
1156,1596.0,23726.0
1157,1597.0,23727.0
1158,1598.0,23755.0
1159,1599.0,23760.0
1160,1600.0,23762.0
1161,1601.0,23780.0
1162,1602.0,23812.0
1163,1603.0,23815.0
1164,1604.0,23851.0
1165,1605.0,23864.0
1166,1607.0,23900.0
1167,1608.0,23914.0
1168,1610.0,23634.0
1169,1611.0,14441.0
1170,1612.0,13414.0
1171,1613.0,23954.0
1172,1615.0,23981.0
1173,1616.0,24005.0
1174,1617.0,24047.0
1175,1618.0,17505.0
1176,1619.0,24067.0
1177,1620.0,24068.0
1178,1621.0,24093.0
1179,1622.0,24102.0
1180,1623.0,23237.0
1181,1624.0,24079.0
1182,1625.0,24123.0
1183,1626.0,24124.0
1184,1627.0,24147.0
1185,1628.0,24155.0
1186,1629.0,24162.0
1187,1630.0,24189.0
1188,1631.0,20598.0
1189,1632.0,24212.0
1190,1633.0,24219.0
1191,1636.0,24237.0
1192,1638.0,24277.0
1193,1639.0,24290.0
1194,1640.0,24298.0
1195,1641.0,24303.0
1196,1642.0,8741.0
1197,1643.0,24351.0
1198,1644.0,24396.0
1199,1645.0,24437.0
1200,1648.0,24499.0
1201,1649.0,24511.0
1202,1651.0,24532.0
1203,1652.0,24547.0
